field,museum,source_key,source_label,record_count,example_item_ids,example_titles,canonical_components,component_count,is_composite,is_uncertain,is_style_attribution,is_unattributed,strict_eligible,proposal_decision,proposal_rationale,review_decision,review_rationale,reviewer,review_date
culture,MET,peruvian,Peruvian,11,MET:307836 || MET:307842 || MET:308084,Bolsa textil || Fragmento textil || Manto textil,,0,False,False,False,True,False,excluir_no_atribuida,No contiene una cultura del vocabulario controlado.,pendiente,,,
culture,CMA,"central andes, northern central coast","Central Andes, Northern Central Coast",1,CMA:108043,Tunic (Shirt) with Tapestry-woven Yoke,,0,False,False,False,True,False,excluir_no_atribuida,No contiene una cultura del vocabulario controlado.,pendiente,,,
culture,CMA,"peru, north coast, 9th-12th century","Peru, North Coast, 9th-12th Century",1,CMA:155505,Textile Fragment,,0,False,False,False,True,False,excluir_no_atribuida,No contiene una cultura del vocabulario controlado.,pendiente,,,
culture,MET,paracas,Paracas,37,MET:307677 || MET:307679 || MET:307682,Manto textil || Fragmento textil || Objeto textil,Paracas,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,MET,nasca,Nasca,34,MET:307841 || MET:307843 || MET:307844,Bolsa textil || Túnica textil || Fragmento textil,Nasca,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, central coast, chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",16,CMA:104234 || CMA:104236 || CMA:104240,Fragment Composed of Two Fabrics Joined || Fragment formed of Four Separate Fabrics Joined || Border Strip,Chancay,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,MET,inca,Inca,15,MET:307449 || MET:307846 || MET:307941,Bolsa textil || Panel textil || Túnica textil,Inca,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,MET,chancay,Chancay,12,MET:307806 || MET:307940 || MET:307943,Fragmento textil || Panel textil || Banda o vincha textil,Chancay,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, south coast, wari culture, middle horizon, 8th-12th century","Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",5,CMA:114132 || CMA:125095 || CMA:126684,Tie-Dyed Fragment || Mantle Corner Fragment || Tunic with Profile Animal and Human Heads,Wari,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,MET,wari,Wari,5,MET:307991 || MET:312614 || MET:312615,Túnica textil,Wari,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, moche, north coast","Peru, Moche, north coast",4,CMA:165266 || CMA:165267 || CMA:165268,Textile Fragments || Textile Fragment,Moche,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"central andes, middle horizon, wari, 6th-11th century","Central Andes, Middle Horizon, Wari, 6th-11th century",3,CMA:164428 || CMA:164429 || CMA:164430,Tunic Fragments with Bird-Headed Creature || Half of a Sleeved Tunic,Wari,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, north coast, chimú culture, 12th-15th century","Peru, North Coast, Chimú Culture, 12th-15th century",3,CMA:104238 || CMA:104390 || CMA:108038,Fragment || Fragment from a Mantle || Large Cloth,Chimu,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"peru, south coast, paracas, late period","Peru, South Coast, Paracas, Late Period",3,CMA:102924 || CMA:119690 || CMA:124741,Fragment of a Border || Fragment of Embroidered Cloth || Turban Band (Llauto),Paracas,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
culture,CMA,"central andes, central coast, ychsma (pachacamac) people","Central Andes, Central Coast, Ychsma (Pachacamac) people",2,CMA:114131 || CMA:292530,Fish-Shaped Applique || Tunic with Frontal Figures,Ychsma,1,False,False,False,False,True,propuesta_aceptable,"Contiene una atribución cultural explícita, simple y sin señales de incertidumbre.",pendiente,,,
