row_index,item_id,museum
0,CMA:102924,CMA
1,CMA:104234,CMA
2,CMA:104236,CMA
3,CMA:104238,CMA
4,CMA:104240,CMA
5,CMA:104241,CMA
6,CMA:104242,CMA
7,CMA:104243,CMA
8,CMA:104244,CMA
9,CMA:104245,CMA
10,CMA:104246,CMA
11,CMA:104247,CMA
12,CMA:104248,CMA
13,CMA:104249,CMA
14,CMA:104390,CMA
15,CMA:108026,CMA
16,CMA:108033,CMA
17,CMA:108034,CMA
18,CMA:108038,CMA
19,CMA:108042,CMA
20,CMA:108043,CMA
21,CMA:108044,CMA
22,CMA:114131,CMA
23,CMA:114132,CMA
24,CMA:119652,CMA
25,CMA:119655,CMA
26,CMA:119656,CMA
27,CMA:119675,CMA
28,CMA:119676,CMA
29,CMA:119677,CMA
30,CMA:119678,CMA
31,CMA:119679,CMA
32,CMA:119680,CMA
33,CMA:119682,CMA
34,CMA:119683,CMA
35,CMA:119684,CMA
36,CMA:119685,CMA
37,CMA:119686,CMA
38,CMA:119687,CMA
39,CMA:119688,CMA
40,CMA:119689,CMA
41,CMA:119690,CMA
42,CMA:119693,CMA
43,CMA:124413,CMA
44,CMA:124739,CMA
45,CMA:124740,CMA
46,CMA:124741,CMA
47,CMA:125095,CMA
48,CMA:126684,CMA
49,CMA:128454,CMA
50,CMA:130555,CMA
51,CMA:134395,CMA
52,CMA:134604,CMA
53,CMA:134765,CMA
54,CMA:134948,CMA
55,CMA:137312,CMA
56,CMA:149062,CMA
57,CMA:152258,CMA
58,CMA:152334,CMA
59,CMA:152819,CMA
60,CMA:155505,CMA
61,CMA:155934,CMA
62,CMA:156237,CMA
63,CMA:157111,CMA
64,CMA:157112,CMA
65,CMA:160691,CMA
66,CMA:160692,CMA
67,CMA:163622,CMA
68,CMA:163640,CMA
69,CMA:163676,CMA
70,CMA:163708,CMA
71,CMA:163724,CMA
72,CMA:163758,CMA
73,CMA:163781,CMA
74,CMA:164419,CMA
75,CMA:164421,CMA
76,CMA:164428,CMA
77,CMA:164429,CMA
78,CMA:164430,CMA
79,CMA:165184,CMA
80,CMA:165266,CMA
81,CMA:165267,CMA
82,CMA:165268,CMA
83,CMA:165269,CMA
84,CMA:166766,CMA
85,CMA:169189,CMA
86,CMA:292530,CMA
87,CMA:302272,CMA
88,MET:307449,MET
89,MET:307677,MET
90,MET:307679,MET
91,MET:307682,MET
92,MET:307683,MET
93,MET:307806,MET
94,MET:307836,MET
95,MET:307841,MET
96,MET:307842,MET
97,MET:307843,MET
98,MET:307844,MET
99,MET:307846,MET
100,MET:307851,MET
101,MET:307852,MET
102,MET:307853,MET
103,MET:307933,MET
104,MET:307940,MET
105,MET:307941,MET
106,MET:307943,MET
107,MET:307944,MET
108,MET:307950,MET
109,MET:307953,MET
110,MET:307959,MET
111,MET:307960,MET
112,MET:307961,MET
113,MET:307962,MET
114,MET:307963,MET
115,MET:307964,MET
116,MET:307965,MET
117,MET:307966,MET
118,MET:307967,MET
119,MET:307968,MET
120,MET:307972,MET
121,MET:307975,MET
122,MET:307991,MET
123,MET:308015,MET
124,MET:308016,MET
125,MET:308017,MET
126,MET:308021,MET
127,MET:308022,MET
128,MET:308023,MET
129,MET:308024,MET
130,MET:308025,MET
131,MET:308026,MET
132,MET:308027,MET
133,MET:308028,MET
134,MET:308029,MET
135,MET:308034,MET
136,MET:308035,MET
137,MET:308036,MET
138,MET:308037,MET
139,MET:308039,MET
140,MET:308040,MET
141,MET:308042,MET
142,MET:308044,MET
143,MET:308046,MET
144,MET:308048,MET
145,MET:308053,MET
146,MET:308056,MET
147,MET:308057,MET
148,MET:308058,MET
149,MET:308060,MET
150,MET:308068,MET
151,MET:308070,MET
152,MET:308072,MET
153,MET:308076,MET
154,MET:308077,MET
155,MET:308078,MET
156,MET:308079,MET
157,MET:308083,MET
158,MET:308084,MET
159,MET:308098,MET
160,MET:308100,MET
161,MET:308101,MET
162,MET:308105,MET
163,MET:308106,MET
164,MET:308113,MET
165,MET:308120,MET
166,MET:308282,MET
167,MET:308283,MET
168,MET:308284,MET
169,MET:308285,MET
170,MET:308290,MET
171,MET:309528,MET
172,MET:310059,MET
173,MET:310511,MET
174,MET:310695,MET
175,MET:310697,MET
176,MET:310698,MET
177,MET:310699,MET
178,MET:312614,MET
179,MET:312615,MET
180,MET:312669,MET
181,MET:313121,MET
182,MET:313152,MET
183,MET:313153,MET
184,MET:313324,MET
185,MET:314363,MET
186,MET:314528,MET
187,MET:315690,MET
188,MET:315700,MET
189,MET:315708,MET
190,MET:315772,MET
191,MET:315786,MET
192,MET:316892,MET
193,MET:316894,MET
194,MET:316906,MET
195,MET:316910,MET
196,MET:316913,MET
197,MET:316915,MET
198,MET:316916,MET
199,MET:316921,MET
200,MET:316925,MET
201,MET:316931,MET
202,MET:316935,MET
203,MET:316939,MET
204,MET:316945,MET
205,MET:317736,MET
206,MET:318460,MET
207,MET:318746,MET
208,MET:319524,MET
209,MET:319574,MET
210,MET:320054,MET
211,MET:320804,MET
212,MET:675980,MET
213,MET:751900,MET
214,MET:833953,MET
