item_id,museum,source_object_id,source_accession_number,title,title_original,description,culture,culture_original,period,period_original,object_type,object_type_original,material,material_original,technique,technique_original,provenance,classification,country,region,image_url,object_url,license,dataset_split,review_status,review_decision_original,review_reason,reviewer,review_date,source_branch,source_commit,source_file,enrichment_source_file,metadata_recovery_source,metadata_recovery_version,adapter_name,adapter_version,processing_timestamp,image_local_path,image_sha256,image_phash,culture_source,culture_canonical,culture_components,culture_component_count,culture_attribution_type,culture_mapping_decision,culture_mapping_basis,culture_strict_ground_truth_eligible,culture_mapping_status,culture_mapping_note,culture_mapping_version,image_download_status,image_acquisition_action,image_final_url,image_content_type,image_bytes,image_width,image_height,image_format,image_download_version
CMA:102924,CMA,102924,1921.1550,Fragment of a Border,Fragment of a Border,,"Peru, South Coast, Paracas, Late Period","Peru, South Coast, Paracas, Late Period",300–100 BCE,300–100 BCE,Textile,Textile,,,cotton plain cloth embroidered in wool outline stitch,cotton plain cloth embroidered in wool outline stitch,,Textile,,,https://openaccess-cdn.clevelandart.org/1921.1550/1921.1550_web.jpg,https://clevelandart.org/art/1921.1550,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_102924.jpg,de9ee8775917a1e9a6025397fe227bf282325db442f6c74e401ea848f634a08b,,"Peru, South Coast, Paracas, Late Period",Paracas,Paracas,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,reused,,,248446,303,893,JPEG,image_download_v1
CMA:104234,CMA,104234,1922.389,Fragment Composed of Two Fabrics Joined,Fragment Composed of Two Fabrics Joined,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound twill and plain compound tabby; cotton,plain compound twill and plain compound tabby; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.389/1922.389_web.jpg,https://clevelandart.org/art/1922.389,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104234.jpg,731182bba04eabb294acc242316cdd600a2a0a62a791f6880116ad8a3698d0ba,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,Chancay,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,reused,,,907847,1124,893,JPEG,image_download_v1
CMA:104236,CMA,104236,1922.390,Fragment formed of Four Separate Fabrics Joined,Fragment formed of Four Separate Fabrics Joined,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,"two pieces plain cloth, two pieces compound twill; cotton","two pieces plain cloth, two pieces compound twill; cotton",,Textile,,,https://openaccess-cdn.clevelandart.org/1922.390/1922.390_web.jpg,https://clevelandart.org/art/1922.390,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104236.jpg,22f9b85b07f0aae0480fb37a0f992053594924d17dc771dd65c5062834863671,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,Chancay,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,reused,,,885053,1263,829,JPEG,image_download_v1
CMA:104238,CMA,104238,1922.392,Fragment,Fragment,,"Peru, North Coast, Chimú Culture, 12th-15th century","Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,"plain cloth, brocaded; cotton","plain cloth, brocaded; cotton",,Textile,,,https://openaccess-cdn.clevelandart.org/1922.392/1922.392_web.jpg,https://clevelandart.org/art/1922.392,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104238.jpg,77087c319a10c79d018dd719512950272a386c52504cee5808d88ea7853cef42,,"Peru, North Coast, Chimú Culture, 12th-15th century",Chimu,Chimu,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,reused,,,305053,437,893,JPEG,image_download_v1
CMA:104240,CMA,104240,1922.394,Border Strip,Border Strip,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,tabby weave with supplementary pattern weft; cotton,tabby weave with supplementary pattern weft; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.394/1922.394_web.jpg,https://clevelandart.org/art/1922.394,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104240.jpg,95e8aee3b9b04121ac4b54a9c4c5cff7916fbf681edb00f09a02d6cb90eb7402,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,Chancay,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,reused,,,323679,1263,270,JPEG,image_download_v1
CMA:104241,CMA,104241,1922.395,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395/1922.395_web.jpg,https://clevelandart.org/art/1922.395,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104241.jpg,723b0bc2ecf87ae5961b437040f81c095075f4ac539d471b74489b6482515e76,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,Chancay,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,downloaded,https://openaccess-cdn.clevelandart.org/1922.395/1922.395_web.jpg,image/jpeg,338462,742,900,JPEG,image_download_v1
CMA:104242,CMA,104242,1922.395.a,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395.a/1922.395.a_web.jpg,https://clevelandart.org/art/1922.395.a,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104242.jpg,c03af74af54f0a0d256dd6c73ce70b04f36ffdb0ebbf6c7510074b522efd2f64,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,Chancay,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,downloaded,https://openaccess-cdn.clevelandart.org/1922.395.a/1922.395.a_web.jpg,image/jpeg,173500,900,270,JPEG,image_download_v1
CMA:104243,CMA,104243,1922.395.b,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395.b/1922.395.b_web.jpg,https://clevelandart.org/art/1922.395.b,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104243.jpg,242a73b74c496c3e52076e5410a90b1bea19e057809d8b92aa36e8f43c4e4b78,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,Chancay,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,downloaded,https://openaccess-cdn.clevelandart.org/1922.395.b/1922.395.b_web.jpg,image/jpeg,172858,900,284,JPEG,image_download_v1
CMA:104244,CMA,104244,1922.395.c,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395.c/1922.395.c_web.jpg,https://clevelandart.org/art/1922.395.c,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104244.jpg,83f905596afb2180015c709156f4a5d5a3e3fb2365d644e7201abfe43edf1994,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,Chancay,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,downloaded,https://openaccess-cdn.clevelandart.org/1922.395.c/1922.395.c_web.jpg,image/jpeg,171197,900,292,JPEG,image_download_v1
CMA:104245,CMA,104245,1922.395.d,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395.d/1922.395.d_web.jpg,https://clevelandart.org/art/1922.395.d,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,data/images/cma/CMA_104245.jpg,69d0b82bfa091d4c083585db31bc86e4ae2ffb937da90e298f5d89591343d614,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,Chancay,1,direct,include_strict,direct_attribution,True,resolved,Atribución cultural directa. Se conserva como etiqueta canónica y puede utilizarse en el ground truth cultural estricto.,culture_mapping_curated_v1,available,downloaded,https://openaccess-cdn.clevelandart.org/1922.395.d/1922.395.d_web.jpg,image/jpeg,168719,900,277,JPEG,image_download_v1
