item_id,museum,source_object_id,source_accession_number,title,title_original,description,culture,culture_original,period,period_original,object_type,object_type_original,material,material_original,technique,technique_original,provenance,classification,country,region,image_url,object_url,license,dataset_split,review_status,review_decision_original,review_reason,reviewer,review_date,source_branch,source_commit,source_file,enrichment_source_file,metadata_recovery_source,metadata_recovery_version,adapter_name,adapter_version,processing_timestamp,image_local_path,image_sha256,image_phash
CMA:102924,CMA,102924,1921.1550,Fragment of a Border,Fragment of a Border,,"Peru, South Coast, Paracas, Late Period","Peru, South Coast, Paracas, Late Period",300–100 BCE,300–100 BCE,Textile,Textile,,,cotton plain cloth embroidered in wool outline stitch,cotton plain cloth embroidered in wool outline stitch,,Textile,,,https://openaccess-cdn.clevelandart.org/1921.1550/1921.1550_web.jpg,https://clevelandart.org/art/1921.1550,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104234,CMA,104234,1922.389,Fragment Composed of Two Fabrics Joined,Fragment Composed of Two Fabrics Joined,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound twill and plain compound tabby; cotton,plain compound twill and plain compound tabby; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.389/1922.389_web.jpg,https://clevelandart.org/art/1922.389,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104236,CMA,104236,1922.390,Fragment formed of Four Separate Fabrics Joined,Fragment formed of Four Separate Fabrics Joined,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,"two pieces plain cloth, two pieces compound twill; cotton","two pieces plain cloth, two pieces compound twill; cotton",,Textile,,,https://openaccess-cdn.clevelandart.org/1922.390/1922.390_web.jpg,https://clevelandart.org/art/1922.390,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104238,CMA,104238,1922.392,Fragment,Fragment,,"Peru, North Coast, Chimú Culture, 12th-15th century","Peru, North Coast, Chimú Culture, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,"plain cloth, brocaded; cotton","plain cloth, brocaded; cotton",,Textile,,,https://openaccess-cdn.clevelandart.org/1922.392/1922.392_web.jpg,https://clevelandart.org/art/1922.392,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104240,CMA,104240,1922.394,Border Strip,Border Strip,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,tabby weave with supplementary pattern weft; cotton,tabby weave with supplementary pattern weft; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.394/1922.394_web.jpg,https://clevelandart.org/art/1922.394,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104241,CMA,104241,1922.395,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395/1922.395_web.jpg,https://clevelandart.org/art/1922.395,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104242,CMA,104242,1922.395.a,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395.a/1922.395.a_web.jpg,https://clevelandart.org/art/1922.395.a,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104243,CMA,104243,1922.395.b,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395.b/1922.395.b_web.jpg,https://clevelandart.org/art/1922.395.b,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104244,CMA,104244,1922.395.c,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395.c/1922.395.c_web.jpg,https://clevelandart.org/art/1922.395.c,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
CMA:104245,CMA,104245,1922.395.d,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",c. 1100–1400,c. 1100–1400,Textile,Textile,,,plain compound cloth; cotton,plain compound cloth; cotton,,Textile,,,https://openaccess-cdn.clevelandart.org/1922.395.d/1922.395.d_web.jpg,https://clevelandart.org/art/1922.395.d,CC0,principal,aprobado,aceptar_principal,mantener,,,mejora/cma-flujo-reproducible-es,0659cd14769fa8e2cf1bde4b01b2cbb3f0415db6,data/metadata/cma_corpus_principal_revisado.csv,data/metadata/cma_andes_textiles_candidates.csv,cma_andes_textiles_candidates,1.0.0,cma_enriched_adapter,1.0.0,2026-07-15T09:44:36Z,,,
