query_item_id,candidate_item_id,rank,ranking_method,generator_seed,reference_version
CMA:102924,MET:316945,1,random,20260715,reference_rankings_v1
CMA:102924,MET:308015,2,random,20260715,reference_rankings_v1
CMA:102924,MET:307991,3,random,20260715,reference_rankings_v1
CMA:102924,MET:308026,4,random,20260715,reference_rankings_v1
CMA:102924,MET:308284,5,random,20260715,reference_rankings_v1
CMA:102924,CMA:119693,6,random,20260715,reference_rankings_v1
CMA:102924,MET:308053,7,random,20260715,reference_rankings_v1
CMA:102924,CMA:104241,8,random,20260715,reference_rankings_v1
CMA:102924,MET:307950,9,random,20260715,reference_rankings_v1
CMA:102924,CMA:104243,10,random,20260715,reference_rankings_v1
CMA:102924,MET:313121,11,random,20260715,reference_rankings_v1
CMA:102924,MET:315700,12,random,20260715,reference_rankings_v1
CMA:102924,MET:308046,13,random,20260715,reference_rankings_v1
CMA:102924,MET:308113,14,random,20260715,reference_rankings_v1
CMA:102924,MET:307968,15,random,20260715,reference_rankings_v1
CMA:102924,MET:308068,16,random,20260715,reference_rankings_v1
CMA:102924,MET:307944,17,random,20260715,reference_rankings_v1
CMA:102924,MET:308016,18,random,20260715,reference_rankings_v1
CMA:102924,MET:312669,19,random,20260715,reference_rankings_v1
CMA:102924,MET:310698,20,random,20260715,reference_rankings_v1
CMA:102924,MET:313153,21,random,20260715,reference_rankings_v1
CMA:102924,MET:310699,22,random,20260715,reference_rankings_v1
CMA:102924,CMA:104238,23,random,20260715,reference_rankings_v1
CMA:102924,MET:319574,24,random,20260715,reference_rankings_v1
CMA:102924,CMA:104244,25,random,20260715,reference_rankings_v1
CMA:102924,MET:308029,26,random,20260715,reference_rankings_v1
CMA:102924,MET:314363,27,random,20260715,reference_rankings_v1
CMA:102924,MET:307965,28,random,20260715,reference_rankings_v1
CMA:102924,CMA:292530,29,random,20260715,reference_rankings_v1
CMA:102924,CMA:155934,30,random,20260715,reference_rankings_v1
CMA:102924,MET:307806,31,random,20260715,reference_rankings_v1
CMA:102924,MET:319524,32,random,20260715,reference_rankings_v1
CMA:102924,CMA:149062,33,random,20260715,reference_rankings_v1
CMA:102924,CMA:125095,34,random,20260715,reference_rankings_v1
CMA:102924,MET:316913,35,random,20260715,reference_rankings_v1
CMA:102924,MET:308048,36,random,20260715,reference_rankings_v1
CMA:102924,MET:308079,37,random,20260715,reference_rankings_v1
CMA:102924,CMA:165268,38,random,20260715,reference_rankings_v1
CMA:102924,MET:307852,39,random,20260715,reference_rankings_v1
CMA:102924,MET:315708,40,random,20260715,reference_rankings_v1
CMA:102924,MET:308105,41,random,20260715,reference_rankings_v1
CMA:102924,MET:307844,42,random,20260715,reference_rankings_v1
CMA:102924,MET:310511,43,random,20260715,reference_rankings_v1
CMA:102924,MET:307846,44,random,20260715,reference_rankings_v1
CMA:102924,MET:308072,45,random,20260715,reference_rankings_v1
