baseline_version,run_index,generator_seed,culture_canonical,evaluation_scope,query_count,mrr,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random_multiseed_baseline_v1,1,20260715,Chancay,strict_culture_universe,31,0.4795167198393005,0.25806451612903225,0.008602150537634409,0.25806451612903225,0.22580645161290322,0.03763440860215054,0.23251468154068627,0.21935483870967742,0.07311827956989247,0.2259234208145112
random_multiseed_baseline_v1,1,20260715,Chimu,strict_culture_universe,6,0.047367979370339715,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.020135217116582366
random_multiseed_baseline_v1,1,20260715,Inca,strict_culture_universe,17,0.26486824402049314,0.11764705882352941,0.007352941176470588,0.11764705882352941,0.09411764705882353,0.029411764705882353,0.09559306547602361,0.08235294117647059,0.051470588235294115,0.08642684167998606
random_multiseed_baseline_v1,1,20260715,Moche,strict_culture_universe,6,0.06078556178806805,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.036475098088475204
random_multiseed_baseline_v1,1,20260715,Nasca,strict_culture_universe,35,0.42159967017109873,0.22857142857142856,0.006722689075630252,0.22857142857142856,0.18857142857142858,0.02773109243697479,0.1981917953536994,0.21714285714285714,0.06386554621848739,0.21431739414347944
random_multiseed_baseline_v1,1,20260715,Paracas,strict_culture_universe,42,0.5686705490276919,0.42857142857142855,0.010452961672473868,0.42857142857142855,0.2857142857142857,0.03484320557491289,0.3111263123760216,0.2666666666666667,0.06504065040650407,0.288478283215314
random_multiseed_baseline_v1,1,20260715,Recuay,strict_culture_universe,3,0.014460908416369711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,1,20260715,Wari,strict_culture_universe,15,0.262157907639652,0.13333333333333333,0.009523809523809523,0.13333333333333333,0.09333333333333334,0.03333333333333333,0.09802435218573052,0.07333333333333333,0.05238095238095238,0.08256247315055741
random_multiseed_baseline_v1,1,20260715,Ychsma,strict_culture_universe,2,0.010958437429025664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,2,20260716,Chancay,strict_culture_universe,31,0.3746585851424561,0.1935483870967742,0.0064516129032258064,0.1935483870967742,0.1806451612903226,0.030107526881720432,0.18260773531375432,0.1935483870967742,0.06451612903225806,0.19047642850497615
random_multiseed_baseline_v1,2,20260716,Chimu,strict_culture_universe,6,0.3624017957351291,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.11305340175787204,0.03333333333333333,0.06666666666666667,0.11305340175787204
random_multiseed_baseline_v1,2,20260716,Inca,strict_culture_universe,17,0.28701255011808646,0.17647058823529413,0.011029411764705883,0.17647058823529413,0.10588235294117647,0.03308823529411765,0.1138058487410978,0.09411764705882353,0.058823529411764705,0.1020337432893365
random_multiseed_baseline_v1,2,20260716,Moche,strict_culture_universe,6,0.12734793974182768,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.02826335043946801,0.06666666666666667,0.13333333333333333,0.08555001719311801
random_multiseed_baseline_v1,2,20260716,Nasca,strict_culture_universe,35,0.43049248370676946,0.2,0.0058823529411764705,0.2,0.26857142857142857,0.03949579831932773,0.25276238726844313,0.21142857142857144,0.06218487394957984,0.21779806948365532
random_multiseed_baseline_v1,2,20260716,Paracas,strict_culture_universe,42,0.44569160997732427,0.23809523809523808,0.005807200929152149,0.23809523809523808,0.2666666666666667,0.032520325203252036,0.2598714635544602,0.2761904761904762,0.06736353077816493,0.26941023632450556
random_multiseed_baseline_v1,2,20260716,Recuay,strict_culture_universe,3,0.01935403645100137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,2,20260716,Wari,strict_culture_universe,15,0.2672601082131302,0.06666666666666667,0.0047619047619047615,0.06666666666666667,0.10666666666666667,0.03809523809523809,0.10197564781426947,0.11333333333333334,0.08095238095238094,0.10856739284039398
random_multiseed_baseline_v1,2,20260716,Ychsma,strict_culture_universe,2,0.02993897787948131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,3,20260717,Chancay,strict_culture_universe,31,0.4110215053763441,0.1935483870967742,0.0064516129032258064,0.1935483870967742,0.25806451612903225,0.04301075268817204,0.2370320036016379,0.22903225806451613,0.07634408602150537,0.2240665677438858
random_multiseed_baseline_v1,3,20260717,Chimu,strict_culture_universe,6,0.09471248501968842,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.02186751291872363,0.03333333333333333,0.06666666666666667,0.042002730035305996
random_multiseed_baseline_v1,3,20260717,Inca,strict_culture_universe,17,0.3740939753191509,0.17647058823529413,0.011029411764705883,0.17647058823529413,0.15294117647058825,0.04779411764705882,0.16189820367131214,0.11176470588235295,0.06985294117647059,0.1302143472488738
random_multiseed_baseline_v1,3,20260717,Moche,strict_culture_universe,6,0.06797033567525372,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000001,0.10000000000000002,0.04901964291567853
random_multiseed_baseline_v1,3,20260717,Nasca,strict_culture_universe,35,0.4003359589449815,0.2,0.0058823529411764705,0.2,0.22857142857142856,0.03361344537815126,0.21528722371738374,0.23428571428571426,0.06890756302521008,0.22347034386181977
random_multiseed_baseline_v1,3,20260717,Paracas,strict_culture_universe,42,0.4713788460217031,0.23809523809523808,0.005807200929152149,0.23809523809523808,0.23809523809523808,0.029036004645760744,0.24365429260324267,0.25,0.06097560975609756,0.2504133008908511
random_multiseed_baseline_v1,3,20260717,Recuay,strict_culture_universe,3,0.014950848284181617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,3,20260717,Wari,strict_culture_universe,15,0.3309087378958254,0.2,0.014285714285714285,0.2,0.14666666666666667,0.05238095238095238,0.16047187467769583,0.12000000000000001,0.0857142857142857,0.13679732433383232
random_multiseed_baseline_v1,3,20260717,Ychsma,strict_culture_universe,2,0.02222659323367427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,4,20260718,Chancay,strict_culture_universe,31,0.4470864171670623,0.3225806451612903,0.01075268817204301,0.3225806451612903,0.1870967741935484,0.03118279569892473,0.21043882516905768,0.1806451612903226,0.060215053763440864,0.1974232668289981
random_multiseed_baseline_v1,4,20260718,Chimu,strict_culture_universe,6,0.11772766935470315,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.04868944994756882,0.05000000000000001,0.10000000000000002,0.06753168357388083
random_multiseed_baseline_v1,4,20260718,Inca,strict_culture_universe,17,0.30318934591380414,0.11764705882352941,0.007352941176470588,0.11764705882352941,0.11764705882352941,0.03676470588235294,0.11800183158666196,0.11176470588235295,0.06985294117647059,0.11287937593061176
random_multiseed_baseline_v1,4,20260718,Moche,strict_culture_universe,6,0.0448565736344641,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.017016232520485272
random_multiseed_baseline_v1,4,20260718,Nasca,strict_culture_universe,35,0.32441074798217656,0.11428571428571428,0.003361344537815126,0.11428571428571428,0.2,0.02941176470588235,0.18218052204598717,0.21428571428571427,0.06302521008403361,0.19890464863327786
random_multiseed_baseline_v1,4,20260718,Paracas,strict_culture_universe,42,0.49101473922902494,0.2619047619047619,0.006387921022067364,0.2619047619047619,0.2523809523809524,0.03077816492450639,0.26121595557884547,0.2785714285714286,0.06794425087108014,0.27537336909155324
random_multiseed_baseline_v1,4,20260718,Recuay,strict_culture_universe,3,0.030850305168884814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
