ranking_method,generator_seed,reference_version,query_item_id,culture_canonical,relevant_item_count,first_relevant_rank,reciprocal_rank,evaluation_scope,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random,20260715,reference_rankings_v1,CMA:102924,Paracas,41,1,1.0,strict_culture_universe,1.0,0.024390243902439025,1.0,0.2,0.024390243902439025,0.3391602052736161,0.2,0.04878048780487805,0.2934556883974402
random,20260715,reference_rankings_v1,CMA:104234,Chancay,30,1,1.0,strict_culture_universe,1.0,0.03333333333333333,1.0,0.6,0.1,0.6164336326286644,0.3,0.1,0.40002324830925196
random,20260715,reference_rankings_v1,CMA:104236,Chancay,30,7,0.14285714285714285,strict_culture_universe,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.07336392209936005
random,20260715,reference_rankings_v1,CMA:104238,Chimu,5,82,0.012195121951219513,strict_culture_universe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,20260715,reference_rankings_v1,CMA:104240,Chancay,30,3,0.3333333333333333,strict_culture_universe,0.0,0.0,0.0,0.2,0.03333333333333333,0.16958010263680806,0.1,0.03333333333333333,0.11004588314904008
random,20260715,reference_rankings_v1,CMA:104241,Chancay,30,2,0.5,strict_culture_universe,0.0,0.0,0.0,0.2,0.03333333333333333,0.21398626473452756,0.4,0.13333333333333333,0.35687885840597894
random,20260715,reference_rankings_v1,CMA:104242,Chancay,30,5,0.2,strict_culture_universe,0.0,0.0,0.0,0.2,0.03333333333333333,0.13120507751234178,0.2,0.06666666666666667,0.15139734109601002
random,20260715,reference_rankings_v1,CMA:104243,Chancay,30,7,0.14285714285714285,strict_culture_universe,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.07336392209936005
random,20260715,reference_rankings_v1,CMA:104244,Chancay,30,3,0.3333333333333333,strict_culture_universe,0.0,0.0,0.0,0.2,0.03333333333333333,0.16958010263680806,0.3,0.1,0.2520649403266671
random,20260715,reference_rankings_v1,CMA:104245,Chancay,30,5,0.2,strict_culture_universe,0.0,0.0,0.0,0.2,0.03333333333333333,0.13120507751234178,0.4,0.13333333333333333,0.2941924851321473
random,20260715,reference_rankings_v1,CMA:104246,Chancay,30,1,1.0,strict_culture_universe,1.0,0.03333333333333333,1.0,0.2,0.03333333333333333,0.3391602052736161,0.4,0.13333333333333333,0.4341754806679218
random,20260715,reference_rankings_v1,CMA:104247,Chancay,30,1,1.0,strict_culture_universe,1.0,0.03333333333333333,1.0,0.2,0.03333333333333333,0.3391602052736161,0.2,0.06666666666666667,0.28371255449703187
random,20260715,reference_rankings_v1,CMA:104248,Chancay,30,1,1.0,strict_culture_universe,1.0,0.03333333333333333,1.0,0.4,0.06666666666666667,0.48522855511632257,0.4,0.13333333333333333,0.45449827622138
