field,field_role,category_key,category_label,total_count,met_count,cma_count,museum_count,dominant_museum,museum_dominance,status
classification,core,textil,Textil,127,127,0,1,MET,1.0,source_specific
classification,core,textile,Textile,81,0,81,1,CMA,1.0,source_specific
classification,core,tapestry,Tapestry,4,0,4,1,CMA,1.0,rare
classification,core,embroidery,Embroidery,2,0,2,1,CMA,1.0,rare
classification,core,garment,Garment,1,0,1,1,CMA,1.0,rare
culture,core,paracas,Paracas,37,37,0,1,MET,1.0,source_specific
culture,core,nasca,Nasca,34,34,0,1,MET,1.0,source_specific
culture,core,"peru, central coast, chancay, 12th-15th century","Peru, Central Coast, Chancay, 12th-15th century",16,0,16,1,CMA,1.0,source_specific
culture,core,inca,Inca,15,15,0,1,MET,1.0,source_specific
culture,core,chancay,Chancay,12,12,0,1,MET,1.0,source_specific
culture,core,peruvian,Peruvian,11,11,0,1,MET,1.0,source_specific
culture,core,"peru, south coast, ica valley, ocucaje site, paracas style (700 bce–1 ce)","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",9,0,9,1,CMA,1.0,source_specific
culture,core,"peru, south coast, wari culture, middle horizon, 8th-12th century","Peru, South Coast, Wari Culture, Middle Horizon, 8th-12th Century",5,0,5,1,CMA,1.0,source_specific
culture,core,wari,Wari,5,5,0,1,MET,1.0,source_specific
culture,core,nasca (?),Nasca (?),4,4,0,1,MET,1.0,rare
culture,core,"peru, moche, north coast","Peru, Moche, north coast",4,0,4,1,CMA,1.0,rare
culture,core,"central andes, middle horizon, wari, 6th-11th century","Central Andes, Middle Horizon, Wari, 6th-11th century",3,0,3,1,CMA,1.0,rare
culture,core,"peru, north coast, chimú culture, 12th-15th century","Peru, North Coast, Chimú Culture, 12th-15th century",3,0,3,1,CMA,1.0,rare
culture,core,"peru, south coast, ica valley, ocucaje site, paracas style","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style",3,0,3,1,CMA,1.0,rare
culture,core,"peru, south coast, paracas, late period","Peru, South Coast, Paracas, Late Period",3,0,3,1,CMA,1.0,rare
culture,core,"central andes, central coast, ychsma (pachacamac) people","Central Andes, Central Coast, Ychsma (Pachacamac) people",2,0,2,1,CMA,1.0,rare
culture,core,chimú,Chimú,2,2,0,1,MET,1.0,rare
culture,core,moche,Moche,2,2,0,1,MET,1.0,rare
culture,core,"peru, central coast, chancay, pachacamac, 12th-15th century","Peru, Central Coast, Chancay, Pachacamac, 12th-15th century",2,0,2,1,CMA,1.0,rare
culture,core,"peru, recuay","Peru, Recuay",2,0,2,1,CMA,1.0,rare
culture,core,"peru, south coast, arica culture, or chile, north coast, 13th-15th century","Peru, South Coast, Arica culture, or Chile, North Coast, 13th-15th century",2,0,2,1,CMA,1.0,rare
culture,core,"peru, south coast, paracas","Peru, South Coast, Paracas",2,0,2,1,CMA,1.0,rare
culture,core,"peru, south coast, paracas (cavernas) style","Peru, South Coast, Paracas (Cavernas) style",2,0,2,1,CMA,1.0,rare
culture,core,"peru, south coast, paracas, yauca valley(?)","Peru, South Coast, Paracas, Yauca Valley(?)",2,0,2,1,CMA,1.0,rare
culture,core,"central andes, north central coast, moche-wari style","Central Andes, North Central Coast, Moche-Wari Style",1,0,1,1,CMA,1.0,rare
culture,core,"central andes, north coast, chimú people","Central Andes, North Coast, Chimú people",1,0,1,1,CMA,1.0,rare
