museum,field,non_empty,total,coverage
ALL,title,215,215,1.0
ALL,description,46,215,0.21395348837209302
ALL,culture,215,215,1.0
ALL,period,215,215,1.0
ALL,object_type,215,215,1.0
ALL,material,127,215,0.5906976744186047
ALL,technique,117,215,0.5441860465116279
ALL,provenance,30,215,0.13953488372093023
ALL,classification,215,215,1.0
ALL,license,215,215,1.0
ALL,image_url,215,215,1.0
ALL,object_url,215,215,1.0
MET,title,127,127,1.0
MET,description,0,127,0.0
MET,culture,127,127,1.0
MET,period,127,127,1.0
MET,object_type,127,127,1.0
MET,material,127,127,1.0
MET,technique,29,127,0.2283464566929134
MET,provenance,30,127,0.23622047244094488
MET,classification,127,127,1.0
MET,license,127,127,1.0
MET,image_url,127,127,1.0
MET,object_url,127,127,1.0
CMA,title,88,88,1.0
CMA,description,46,88,0.5227272727272727
CMA,culture,88,88,1.0
CMA,period,88,88,1.0
CMA,object_type,88,88,1.0
CMA,material,0,88,0.0
CMA,technique,88,88,1.0
CMA,provenance,0,88,0.0
CMA,classification,88,88,1.0
CMA,license,88,88,1.0
CMA,image_url,88,88,1.0
CMA,object_url,88,88,1.0
