museum,metric,value
MET,reviewed_rows,127.0
MET,enrichment_rows,295.0
MET,reviewed_empty_keys,0.0
MET,enrichment_empty_keys,0.0
MET,reviewed_duplicate_keys,0.0
MET,enrichment_duplicate_keys,0.0
MET,matched_reviewed_keys,127.0
MET,missing_reviewed_keys,0.0
MET,match_rate,1.0
MET,unused_enrichment_keys,168.0
CMA,reviewed_rows,88.0
CMA,enrichment_rows,146.0
CMA,reviewed_empty_keys,0.0
CMA,enrichment_empty_keys,0.0
CMA,reviewed_duplicate_keys,0.0
CMA,enrichment_duplicate_keys,0.0
CMA,matched_reviewed_keys,88.0
CMA,missing_reviewed_keys,0.0
CMA,match_rate,1.0
CMA,unused_enrichment_keys,58.0
