replicate,metric,configuration_a,value_a,configuration_b,value_b,difference_b_minus_a
0,mrr,text_metadata,0.0650186737671,text_fused_alpha_0.50,0.0603721907604,-0.00464648300674
0,mean_rank,text_metadata,71.5627906977,text_fused_alpha_0.50,70.6511627907,-0.911627906977
0,median_rank,text_metadata,60,text_fused_alpha_0.50,55,-5
0,recall_at_1,text_metadata,0.0186046511628,text_fused_alpha_0.50,0.0186046511628,0
0,recall_at_5,text_metadata,0.0697674418605,text_fused_alpha_0.50,0.0790697674419,0.0093023255814
0,recall_at_10,text_metadata,0.120930232558,text_fused_alpha_0.50,0.13023255814,0.0093023255814
1,mrr,text_metadata,0.0577798326806,text_fused_alpha_0.50,0.0485100120373,-0.00926982064325
1,mean_rank,text_metadata,70.2558139535,text_fused_alpha_0.50,67.9348837209,-2.32093023256
1,median_rank,text_metadata,49,text_fused_alpha_0.50,49,0
1,recall_at_1,text_metadata,0.0139534883721,text_fused_alpha_0.50,0.0046511627907,-0.0093023255814
1,recall_at_5,text_metadata,0.0604651162791,text_fused_alpha_0.50,0.0511627906977,-0.0093023255814
1,recall_at_10,text_metadata,0.106976744186,text_fused_alpha_0.50,0.102325581395,-0.0046511627907
2,mrr,text_metadata,0.0723224435411,text_fused_alpha_0.50,0.0737127000176,0.00139025647641
2,mean_rank,text_metadata,69.7860465116,text_fused_alpha_0.50,70.9720930233,1.18604651163
2,median_rank,text_metadata,59,text_fused_alpha_0.50,58,-1
2,recall_at_1,text_metadata,0.0232558139535,text_fused_alpha_0.50,0.0232558139535,0
2,recall_at_5,text_metadata,0.0883720930233,text_fused_alpha_0.50,0.093023255814,0.0046511627907
2,recall_at_10,text_metadata,0.158139534884,text_fused_alpha_0.50,0.153488372093,-0.0046511627907
3,mrr,text_metadata,0.060292369634,text_fused_alpha_0.50,0.0584218778812,-0.00187049175277
3,mean_rank,text_metadata,69.2279069767,text_fused_alpha_0.50,68.711627907,-0.516279069767
3,median_rank,text_metadata,60,text_fused_alpha_0.50,52,-8
3,recall_at_1,text_metadata,0.0093023255814,text_fused_alpha_0.50,0.0139534883721,0.0046511627907
3,recall_at_5,text_metadata,0.0744186046512,text_fused_alpha_0.50,0.0558139534884,-0.0186046511628
3,recall_at_10,text_metadata,0.125581395349,text_fused_alpha_0.50,0.13023255814,0.0046511627907
4,mrr,text_metadata,0.0713898712982,text_fused_alpha_0.50,0.0761333535806,0.00474348228244
4,mean_rank,text_metadata,62.4511627907,text_fused_alpha_0.50,60.2139534884,-2.23720930233
4,median_rank,text_metadata,56,text_fused_alpha_0.50,45,-11
