configuration,alpha,query_index,query_item_id,query_museum,matched_rank,reciprocal_rank,matched_score,top1_index,candidate_item_id,candidate_museum,top1_score,top1_is_match,query_title,query_culture_canonical,query_object_type,query_image_local_path,candidate_title,candidate_culture_canonical,candidate_object_type,candidate_image_local_path,self_match,same_museum,cross_museum,same_culture_canonical,same_object_type
text_fused_alpha_0.50,0.5,10,CMA:104246,CMA,22,0.0454545454545,0.335740923882,5,CMA:104241,CMA,0.372580468655,False,Three Fragments of a Border,Chancay,Textile,data/images/cma/CMA_104246.jpg,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104241.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,11,CMA:104247,CMA,30,0.0333333333333,0.329504072666,5,CMA:104241,CMA,0.372580468655,False,Three Fragments of a Border,Chancay,Textile,data/images/cma/CMA_104247.jpg,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104241.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,12,CMA:104248,CMA,63,0.015873015873,0.32047611475,5,CMA:104241,CMA,0.372580528259,False,Three Fragments of a Border,Chancay,Textile,data/images/cma/CMA_104248.jpg,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104241.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,13,CMA:104249,CMA,83,0.0120481927711,0.313596248627,5,CMA:104241,CMA,0.372580528259,False,Three Fragments of a Border,Chancay,Textile,data/images/cma/CMA_104249.jpg,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104241.jpg,False,True,False,True,True
text_fused_alpha_0.50,0.5,93,MET:307806,MET,123,0.00813008130081,0.340855747461,5,CMA:104241,CMA,0.388807684183,False,Fragmento textil,Chancay,Border fragment,data/images/met/MET_307806.jpg,Four Border Strips,Chancay,Textile,data/images/cma/CMA_104241.jpg,False,False,True,True,False
text_fused_alpha_0.50,0.5,187,MET:315690,MET,5,0.2,0.311105966568,38,CMA:119687,CMA,0.331090003252,False,Bolsa textil,Inca,bolso_textil,data/images/met/MET_315690.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119687.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,196,MET:316913,MET,15,0.0666666666667,0.289611130953,38,CMA:119687,CMA,0.3290143013,False,Bolsa textil,Moche,bolso_textil,data/images/met/MET_316913.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119687.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,94,MET:307836,MET,45,0.0222222222222,0.277351796627,38,CMA:119687,CMA,0.335482060909,False,Bolsa textil,,bolso_textil,data/images/met/MET_307836.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119687.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,105,MET:307941,MET,136,0.00735294117647,0.24729770422,38,CMA:119687,CMA,0.331090003252,False,Bolsa textil,Inca,bolso_textil,data/images/met/MET_307941.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119687.jpg,False,False,True,False,False
text_fused_alpha_0.50,0.5,96,MET:307842,MET,8,0.125,0.30809238553,40,CMA:119689,CMA,0.33698451519,False,Bolsa textil,,bolso_textil,data/images/met/MET_307842.jpg,"Mummy Bundle ""Mask""",Paracas,Textile,data/images/cma/CMA_119689.jpg,False,False,True,False,False
