configuration,candidate_rank,candidate_item_id,candidate_museum,top1_count,self_match_count,false_top1_count,top1_share,is_top1_hub,attracted_query_count,attracted_cma_queries,attracted_met_queries,cross_museum_queries,same_culture_queries,same_object_type_queries,cross_museum_share,same_culture_share
text_fused_alpha_0.50,1,MET:308048,MET,71,1,70,0.33023255814,True,71,12,59,12,35,17,0.169014084507,0.492957746479
text_fused_alpha_0.50,2,CMA:119689,CMA,18,0,18,0.0837209302326,True,18,0,18,18,0,0,1,0
text_fused_alpha_0.50,3,MET:308283,MET,14,0,14,0.0651162790698,True,14,0,14,0,0,0,0,0
text_fused_alpha_0.50,4,MET:318460,MET,12,0,12,0.0558139534884,True,12,12,0,12,12,0,1,1
text_fused_alpha_0.50,5,MET:308070,MET,9,0,9,0.0418604651163,True,9,8,1,8,5,0,0.888888888889,0.555555555556
text_fused_alpha_0.50,6,CMA:165184,CMA,8,0,8,0.0372093023256,True,8,6,2,2,0,6,0.25,0
text_fused_alpha_0.50,7,MET:313153,MET,8,0,8,0.0372093023256,True,8,7,1,7,1,0,0.875,0.125
text_fused_alpha_0.50,9,MET:308290,MET,6,0,6,0.0279069767442,True,6,2,4,2,1,0,0.333333333333,0.166666666667
text_fused_alpha_0.50,10,CMA:104241,CMA,5,0,5,0.0232558139535,True,5,4,1,1,5,4,0.2,1
text_fused_alpha_0.50,11,MET:313121,MET,5,0,5,0.0232558139535,True,5,2,3,2,1,0,0.4,0.2
text_fused_alpha_0.50,12,MET:320054,MET,5,0,5,0.0232558139535,True,5,2,3,2,0,0,0.4,0
text_fused_alpha_0.50,13,CMA:119687,CMA,4,0,4,0.0186046511628,True,4,0,4,4,0,0,1,0
text_fused_alpha_0.50,14,CMA:165268,CMA,4,0,4,0.0186046511628,True,4,2,2,2,0,2,0.5,0
text_fused_alpha_0.50,16,CMA:152334,CMA,3,0,3,0.0139534883721,True,3,2,1,1,1,0,0.333333333333,0.333333333333
text_fused_alpha_0.50,17,MET:308058,MET,3,0,3,0.0139534883721,True,3,3,0,3,0,0,1,0
text_fused_alpha_0.50,18,MET:315786,MET,3,0,3,0.0139534883721,True,3,3,0,3,0,0,1,0
text_metadata,2,MET:308070,MET,17,0,17,0.0790697674419,True,17,10,7,10,12,0,0.588235294118,0.705882352941
text_metadata,3,MET:308048,MET,15,0,15,0.0697674418605,True,15,7,8,7,2,4,0.466666666667,0.133333333333
text_metadata,4,MET:308283,MET,13,0,13,0.0604651162791,True,13,0,13,0,0,1,0,0
text_metadata,5,MET:318460,MET,12,0,12,0.0558139534884,True,12,12,0,12,12,0,1,1
text_metadata,9,CMA:165184,CMA,7,0,7,0.0325581395349,True,7,5,2,2,0,5,0.285714285714,0
text_metadata,10,MET:315786,MET,7,0,7,0.0325581395349,True,7,4,3,4,0,0,0.571428571429,0
text_metadata,11,MET:313153,MET,6,0,6,0.0279069767442,True,6,5,1,5,1,0,0.833333333333,0.166666666667
text_metadata,12,CMA:104241,CMA,5,0,5,0.0232558139535,True,5,5,0,0,5,5,0,1
text_metadata,18,CMA:119689,CMA,3,0,3,0.0139534883721,True,3,0,3,3,0,0,1,0
text_metadata,19,CMA:152334,CMA,3,0,3,0.0139534883721,True,3,2,1,1,1,0,0.333333333333,0.333333333333
text_metadata,21,MET:308058,MET,3,0,3,0.0139534883721,True,3,3,0,3,0,0,1,0
text_metadata,24,CMA:165268,CMA,2,0,2,0.0093023255814,False,2,1,1,1,0,1,0.5,0
text_metadata,27,MET:320054,MET,2,0,2,0.0093023255814,False,2,2,0,2,0,0,1,0
text_metadata,78,CMA:119687,CMA,0,0,0,0,False,0,0,0,0,0,0,0,0
text_metadata,180,MET:308290,MET,0,0,0,0,False,0,0,0,0,0,0,0,0
text_metadata,190,MET:313121,MET,0,0,0,0,False,0,0,0,0,0,0,0,0
text_visual,1,MET:308048,MET,54,1,53,0.251162790698,True,54,9,45,9,29,15,0.166666666667,0.537037037037
text_visual,2,MET:308290,MET,16,0,16,0.0744186046512,True,16,2,14,2,1,0,0.125,0.0625
text_visual,3,CMA:104241,CMA,14,0,14,0.0651162790698,True,14,4,10,10,5,4,0.714285714286,0.357142857143
text_visual,4,CMA:119689,CMA,13,0,13,0.0604651162791,True,13,0,13,13,0,0,1,0
text_visual,5,MET:318460,MET,12,0,12,0.0558139534884,True,12,12,0,12,12,0,1,1
text_visual,6,MET:313121,MET,10,0,10,0.046511627907,True,10,4,6,4,3,0,0.4,0.3
text_visual,7,CMA:119687,CMA,9,0,9,0.0418604651163,True,9,0,9,9,0,0,1,0
text_visual,8,MET:320054,MET,9,0,9,0.0418604651163,True,9,4,5,4,0,0,0.444444444444,0
text_visual,9,MET:308070,MET,7,0,7,0.0325581395349,True,7,7,0,7,3,0,1,0.428571428571
text_visual,11,CMA:165184,CMA,5,0,5,0.0232558139535,True,5,5,0,0,0,5,0,0
text_visual,12,CMA:165268,CMA,5,0,5,0.0232558139535,True,5,0,5,5,0,0,1,0
text_visual,13,MET:313153,MET,5,0,5,0.0232558139535,True,5,5,0,5,1,0,1,0.2
text_visual,16,MET:308058,MET,4,0,4,0.0186046511628,True,4,4,0,4,1,0,1,0.25
text_visual,23,MET:315786,MET,2,0,2,0.0093023255814,False,2,2,0,2,0,0,1,0
text_visual,33,CMA:152334,CMA,1,0,1,0.0046511627907,False,1,1,0,0,0,0,0,0
text_visual,180,MET:308283,MET,0,0,0,0,False,0,0,0,0,0,0,0,0
