candidate_item_id,candidate_museum,configurations_as_hub,configurations,total_top1_count,total_false_top1_count,max_top1_count,title,title_original,description,culture,culture_canonical,period,object_type,material,technique,classification,image_local_path,image_url,object_url,image_width,image_height,image_bytes,image_sha256,text_visual,text_visual_version,text_metadata,text_metadata_version,image_exists,description_available,text_visual_length,text_metadata_length
MET:308048,MET,3,text_fused_alpha_0.50|text_metadata|text_visual,140,138,71,Fragmento textil,Embroidered Fragment with Figures,,Paracas,Paracas,5th–2nd century BCE,Textile fragment,Camelid hair,,Textil,data/images/met/MET_308048.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP18558.jpg,https://www.metmuseum.org/art/collection/search/308048,385,700,95210,9e41c11cb9814ccc632ba6ffce6c99ef35ffc4e60c207be58fc4aeaf78dd097d,Title: Fragmento textil; Object type: Textile fragment; Material: Camelid hair,visual_semantic_v1,Title: Fragmento textil; Object type: Textile fragment; Material: Camelid hair; Culture: Paracas; Period: 5th–2nd century BCE; Classification: Textil; Country: Peru,metadata_rich_v1,True,False,78,164
MET:318460,MET,3,text_fused_alpha_0.50|text_metadata|text_visual,36,36,12,Objeto textil,False Face for Funerary Bundle,,Paracas,Paracas,3rd century BCE–1st century CE,Mask,"Cotton, paint",,Textil,data/images/met/MET_318460.jpg,https://images.metmuseum.org/CRDImages/ao/original/vsl1995_49.jpg,https://www.metmuseum.org/art/collection/search/318460,1287,1837,749874,7c27eccf6d3ffe005278eec891bfd8f184a8d85efaeeb90f576825f8c24aee82,"Title: Objeto textil; Object type: Mask; Material: Cotton, paint",visual_semantic_v1,"Title: Objeto textil; Object type: Mask; Material: Cotton, paint; Culture: Paracas; Period: 3rd century BCE–1st century CE; Classification: Textil; Country: Peru",metadata_rich_v1,True,False,64,161
CMA:119689,CMA,3,text_fused_alpha_0.50|text_metadata|text_visual,34,34,18,"Mummy Bundle ""Mask""","Mummy Bundle ""Mask""","The Paracas people buried their dead in bundles that they created by carefully wrapping the seated human body in layers of garments and other textiles. In some cases, they placed a painted <br>cloth—such as these examples—on the outer layer and at the top of the bundle. The hair-like <br>yarns (unwoven warps) were arranged around a solid cotton disk that was sometimes wrapped <br>with a headband. The cloths, then, seem to have functioned as the bundle’s head, even though <br>some are painted not with faces but with complete figures whose supernatural character is marked by the appendages streaming from their bodies.","Peru, South Coast, Ica Valley, Ocucaje site, Paracas style (700 BCE–1 CE)",Paracas,400–200 BCE,Textile,,Cotton and pigment; plain weave,Textile,data/images/cma/CMA_119689.jpg,https://openaccess-cdn.clevelandart.org/1940.527/1940.527_web.jpg,https://clevelandart.org/art/1940.527,550,900,221155,bb188a892a1cee5b57645335cd34651c1c934df001f52a7c2779a21191b52e56,"Title: Mummy Bundle ""Mask""; Object type: Textile; Technique: Cotton and pigment, plain weave; Description: The Paracas people buried their dead in bundles that they created by carefully wrapping the seated human body in layers of garments and other textiles. In some cases, they placed a painted <br>cloth—such as these examples—on the outer layer and at the top of the bundle. The hair-like <br>yarns (unwoven warps) were arranged around a solid cotton disk that was sometimes wrapped <br>with a headband. The cloths, then, seem to have functioned as the bundle’s head, even though <br>some are painted not with faces but with complete figures whose supernatural character is marked by the appendages streaming from their bodies.",visual_semantic_v1,"Title: Mummy Bundle ""Mask""; Object type: Textile; Technique: Cotton and pigment, plain weave; Description: The Paracas people buried their dead in bundles that they created by carefully wrapping the seated human body in layers of garments and other textiles. In some cases, they placed a painted <br>cloth—such as these examples—on the outer layer and at the top of the bundle. The hair-like <br>yarns (unwoven warps) were arranged around a solid cotton disk that was sometimes wrapped <br>with a headband. The cloths, then, seem to have functioned as the bundle’s head, even though <br>some are painted not with faces but with complete figures whose supernatural character is marked by the appendages streaming from their bodies.; Culture: Paracas; Period: 400–200 BCE; Classification: Textile",metadata_rich_v1,True,True,730,794
MET:308070,MET,3,text_fused_alpha_0.50|text_metadata|text_visual,33,33,17,Manto textil,Embroidered Mantle Fragment,,Paracas,Paracas,3rd–2nd century BCE,Mantle fragment,Camelid hair,,Textil,data/images/met/MET_308070.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP18537.jpg,https://www.metmuseum.org/art/collection/search/308070,492,700,93743,22a429ee24a133907907f16ce7b406169091fb603a035459ef02b82ad3954f70,Title: Manto textil; Object type: Mantle fragment; Material: Camelid hair,visual_semantic_v1,Title: Manto textil; Object type: Mantle fragment; Material: Camelid hair; Culture: Paracas; Period: 3rd–2nd century BCE; Classification: Textil; Country: Peru,metadata_rich_v1,True,False,73,159
CMA:104241,CMA,3,text_fused_alpha_0.50|text_metadata|text_visual,24,24,14,Four Border Strips,Four Border Strips,,"Peru, Central Coast, Chancay, 12th-15th century",Chancay,c. 1100–1400,Textile,,plain compound cloth; cotton,Textile,data/images/cma/CMA_104241.jpg,https://openaccess-cdn.clevelandart.org/1922.395/1922.395_web.jpg,https://clevelandart.org/art/1922.395,742,900,338462,723b0bc2ecf87ae5961b437040f81c095075f4ac539d471b74489b6482515e76,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton",visual_semantic_v1,"Title: Four Border Strips; Object type: Textile; Technique: plain compound cloth, cotton; Culture: Chancay; Period: c. 1100–1400; Classification: Textile",metadata_rich_v1,True,False,88,153
CMA:165184,CMA,3,text_fused_alpha_0.50|text_metadata|text_visual,20,20,8,Tunic with Sacrificer,Tunic with Sacrificer,"An extremely abstract supernatural sacrifice repeats in different colors and orientations across the body of this tunic, which was shortened on one side in antiquity. Look for the toothy black-and-white mouth in the sacrificer's upward-gazing head; other facial features include a button nose and a vertically divided eye. The figure holds the L-shaped haft of an axe behind its back and, at the front of its body, a short staff with a severed, upside-down human head on the top.","South America, Peru, Central Andes, Middle Horizon, Wari people, 7th-11th century",Wari,600–1000,Textile,,"camelid-fiber, cotton; tapestry weave",Textile,data/images/cma/CMA_165184.jpg,https://openaccess-cdn.clevelandart.org/2007.179/2007.179_web.jpg,https://clevelandart.org/art/2007.179,915,893,731117,f2558f278ee7657c05fc3e5015219a4036b5694226ae9fb9e106d70f722636a1,"Title: Tunic with Sacrificer; Object type: Textile; Technique: camelid-fiber, cotton, tapestry weave; Description: An extremely abstract supernatural sacrifice repeats in different colors and orientations across the body of this tunic, which was shortened on one side in antiquity. Look for the toothy black-and-white mouth in the sacrificer's upward-gazing head, other facial features include a button nose and a vertically divided eye. The figure holds the L-shaped haft of an axe behind its back and, at the front of its body, a short staff with a severed, upside-down human head on the top.",visual_semantic_v1,"Title: Tunic with Sacrificer; Object type: Textile; Technique: camelid-fiber, cotton, tapestry weave; Description: An extremely abstract supernatural sacrifice repeats in different colors and orientations across the body of this tunic, which was shortened on one side in antiquity. Look for the toothy black-and-white mouth in the sacrificer's upward-gazing head, other facial features include a button nose and a vertically divided eye. The figure holds the L-shaped haft of an axe behind its back and, at the front of its body, a short staff with a severed, upside-down human head on the top.; Culture: Wari; Period: 600–1000; Classification: Textile",metadata_rich_v1,True,True,594,652
MET:313153,MET,3,text_fused_alpha_0.50|text_metadata|text_visual,19,19,8,Túnica textil,Tunic with Felines,,Chimú,Chimu,1450–1550,tunica,algodón; fibra de camélido,tejido,Textil,data/images/met/MET_313153.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP-39316-001.jpg,https://www.metmuseum.org/art/collection/search/313153,4000,1728,2516077,1f93f5b8c6d52ecdc78d2cedc9a150ea4aa6021615bc0284396df7bb4116373e,"Title: Túnica textil; Object type: tunica; Material: algodón, fibra de camélido; Technique: tejido",visual_semantic_v1,"Title: Túnica textil; Object type: tunica; Material: algodón, fibra de camélido; Technique: tejido; Culture: Chimu; Period: 1450–1550; Classification: Textil; Country: Peru",metadata_rich_v1,True,False,98,172
MET:308058,MET,3,text_fused_alpha_0.50|text_metadata|text_visual,10,10,4,Fragmento textil,Embroidered Border Fragment,,Paracas,Paracas,4th–3rd century BCE,Border Fragment,Camelid hair,,Textil,data/images/met/MET_308058.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP18549.jpg,https://www.metmuseum.org/art/collection/search/308058,680,445,82695,941d982c4939af91a7936842c9fcbe0cdcf245b041eeb27e564a8deb54270591,Title: Fragmento textil; Object type: Border Fragment; Material: Camelid hair,visual_semantic_v1,Title: Fragmento textil; Object type: Border Fragment; Material: Camelid hair; Culture: Paracas; Period: 4th–3rd century BCE; Classification: Textil; Country: Peru,metadata_rich_v1,True,False,77,163
MET:308283,MET,2,text_fused_alpha_0.50|text_metadata,27,27,14,Panel textil,Panel with Figures,,Chancay,Chancay,12th–14th century,Textile fragment,"Cotton, paint",,Textil,data/images/met/MET_308283.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP221260.jpg,https://www.metmuseum.org/art/collection/search/308283,4000,3370,5735826,c01ce4047b9e23990e5cac54685b65fca38c821e6b43c77aebeba76b033c7e95,"Title: Panel textil; Object type: Textile fragment; Material: Cotton, paint",visual_semantic_v1,"Title: Panel textil; Object type: Textile fragment; Material: Cotton, paint; Culture: Chancay; Period: 12th–14th century; Classification: Textil; Country: Peru",metadata_rich_v1,True,False,75,159
MET:308290,MET,2,text_fused_alpha_0.50|text_visual,22,22,16,Fragmento textil,Fragment,,Chancay,Chancay,12th–14th century,Panel,"Cotton, camelid hair",,Textil,data/images/met/MET_308290.jpg,https://images.metmuseum.org/CRDImages/ao/original/175775.jpg,https://www.metmuseum.org/art/collection/search/308290,2193,2745,2740353,fea314c69a2bd67fb59e5837930aa2ab2e77a482f62b6c6efac9eee4278f7098,"Title: Fragmento textil; Object type: Panel; Material: Cotton, camelid hair",visual_semantic_v1,"Title: Fragmento textil; Object type: Panel; Material: Cotton, camelid hair; Culture: Chancay; Period: 12th–14th century; Classification: Textil; Country: Peru",metadata_rich_v1,True,False,75,159
