item_id,museum,culture_mapping_decision,culture_strict_ground_truth_eligible,culture_query_eligible,selected_local_image_column,local_image_value,resolved_image_path,local_image_reference_available,local_image_exists,local_image_readable,image_width,image_height,image_format,image_error,selected_image_url_column,image_source_url,text_fields_used,text_input,text_character_count,text_input_available,openclip_image_ready,openclip_text_ready,openclip_multimodal_ready,openclip_image_evaluation_ready,openclip_multimodal_evaluation_ready,audit_version
CMA:102924,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1921.1550/1921.1550_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment of a Border. object type: Textile. culture: Peru, South Coast, Paracas, Late Period. culture canonical: Paracas. period: 300–100 BCE. technique: cotton plain cloth embroidered in wool outline stitch",214,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104234,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.389/1922.389_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment Composed of Two Fabrics Joined. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: plain compound twill and plain compound tabby; cotton",242,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104236,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.390/1922.390_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment formed of Four Separate Fabrics Joined. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: two pieces plain cloth, two pieces compound twill; cotton",254,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104238,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.392/1922.392_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment. object type: Textile. culture: Peru, North Coast, Chimú Culture, 12th-15th century. culture canonical: Chimu. period: c. 1100–1400. technique: plain cloth, brocaded; cotton",189,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104240,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.394/1922.394_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Border Strip. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby weave with supplementary pattern weft; cotton",213,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104241,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.395/1922.395_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Four Border Strips. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: plain compound cloth; cotton",196,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104242,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.395.a/1922.395.a_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Four Border Strips. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: plain compound cloth; cotton",196,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104243,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.395.b/1922.395.b_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Four Border Strips. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: plain compound cloth; cotton",196,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104244,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.395.c/1922.395.c_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Four Border Strips. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: plain compound cloth; cotton",196,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104245,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.395.d/1922.395.d_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Four Border Strips. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: plain compound cloth; cotton",196,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104246,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.396/1922.396_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Three Fragments of a Border. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby with inset border of fancy twill, brocaded; cotton and wool",242,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104247,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.396.a/1922.396.a_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Three Fragments of a Border. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby with inset border of fancy twill, brocaded; cotton and wool",242,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104248,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.396.b/1922.396.b_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Three Fragments of a Border. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby with inset border of fancy twill, brocaded; cotton and wool",242,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104249,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.396.c/1922.396.c_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Three Fragments of a Border. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby with inset border of fancy twill, brocaded; cotton and wool",242,True,False,True,False,False,False,openclip_input_audit_v1
CMA:104390,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1922.517/1922.517_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment from a Mantle. object type: Textile. culture: Peru, North Coast, Chimú Culture, 12th-15th century. culture canonical: Chimu. period: c. 1100–1400. technique: tabby, brocaded; border: single-face pattern weave (fancy twill); cotton and wool",255,True,False,True,False,False,False,openclip_input_audit_v1
CMA:108026,CMA,include_strict,True,True,,,,False,False,False,0,0,,,image_url,https://openaccess-cdn.clevelandart.org/1925.654/1925.654_web.jpg,title | object_type | culture | culture_canonical | period | technique,"title: Fragment. object type: Textile. culture: Peru, Central Coast, Chancay, 12th-15th century. culture canonical: Chancay. period: c. 1100–1400. technique: tabby, brocaded; cotton",181,True,False,True,False,False,False,openclip_input_audit_v1
