configuration,scope,query_modality,candidate_modality,alpha,total_queries,mrr,mean_rank,median_rank,mean_matched_score,recall_at_1,recall_at_5,recall_at_10
text_visual,ALL,text_visual,image,,215,0.0555310276159,71.488372093,58,0.295946016353,0.0139534883721,0.0604651162791,0.093023255814
text_visual,CMA,text_visual,image,,88,0.0766231248021,63.4204545455,56,0.30560262569,0.0227272727273,0.0909090909091,0.102272727273
text_visual,MET,text_visual,image,,127,0.0409160311404,77.0787401575,60,0.289254822482,0.00787401574803,0.0393700787402,0.0866141732283
text_metadata,ALL,text_metadata,image,,215,0.0599745007112,71.576744186,60,0.320514733847,0.0139534883721,0.0651162790698,0.116279069767
text_metadata,CMA,text_metadata,image,,88,0.0907614831245,63.4545454545,56,0.314518324015,0.0340909090909,0.113636363636,0.147727272727
text_metadata,MET,text_metadata,image,,127,0.0386417884878,77.2047244094,60,0.324669726486,0,0.0314960629921,0.0944881889764
text_fused_alpha_0.00,ALL,text_fused,image,0,215,0.0599745007112,71.576744186,60,0.320514741471,0.0139534883721,0.0651162790698,0.116279069767
text_fused_alpha_0.00,CMA,text_fused,image,0,88,0.0907614831245,63.4545454545,56,0.314518329433,0.0340909090909,0.113636363636,0.147727272727
text_fused_alpha_0.00,MET,text_fused,image,0,127,0.0386417884878,77.2047244094,60,0.324669735638,0,0.0314960629921,0.0944881889764
text_fused_alpha_0.25,ALL,text_fused,image,0.25,215,0.0599406236303,70.4279069767,57,0.326590030831,0.0139534883721,0.0604651162791,0.120930232558
text_fused_alpha_0.25,CMA,text_fused,image,0.25,88,0.0810839458216,62.5340909091,52.5,0.316772096875,0.0227272727273,0.102272727273,0.136363636364
text_fused_alpha_0.25,MET,text_fused,image,0.25,127,0.0452901326631,75.8976377953,58,0.33339300869,0.00787401574803,0.0314960629921,0.110236220472
text_fused_alpha_0.50,ALL,text_fused,image,0.5,215,0.059830890397,70.1860465116,55,0.324541130177,0.0139534883721,0.0697674418605,0.13023255814
text_fused_alpha_0.50,CMA,text_fused,image,0.5,88,0.0754172044912,62.0568181818,49.5,0.316049764102,0.0227272727273,0.0909090909091,0.125
text_fused_alpha_0.50,MET,text_fused,image,0.5,127,0.0490309247255,75.8188976378,58,0.330424911394,0.00787401574803,0.0551181102362,0.133858267717
text_fused_alpha_0.75,ALL,text_fused,image,0.75,215,0.0578054565533,70.9348837209,57,0.313654929399,0.0139534883721,0.0651162790698,0.102325581395
text_fused_alpha_0.75,CMA,text_fused,image,0.75,88,0.0774041479092,62.3522727273,49,0.312178805809,0.0227272727273,0.0909090909091,0.102272727273
text_fused_alpha_0.75,MET,text_fused,image,0.75,127,0.0442252609682,76.8818897638,63,0.314677755194,0.00787401574803,0.0472440944882,0.102362204724
text_fused_alpha_1.00,ALL,text_fused,image,1,215,0.0555310276159,71.488372093,58,0.29594601968,0.0139534883721,0.0604651162791,0.093023255814
text_fused_alpha_1.00,CMA,text_fused,image,1,88,0.0766231248021,63.4204545455,56,0.305602625351,0.0227272727273,0.0909090909091,0.102272727273
text_fused_alpha_1.00,MET,text_fused,image,1,127,0.0409160311404,77.0787401575,60,0.289254828349,0.00787401574803,0.0393700787402,0.0866141732283
random,RANDOM,random,image,,215,0.0276752440542,108,108,,0.0046511627907,0.0232558139535,0.046511627907
