configuration,candidate_rank,candidate_item_id,candidate_museum,top1_count,self_match_count,false_top1_count,top1_share,is_top1_hub
text_visual,1,MET:308048,MET,54,1,53,0.251162790698,True
text_visual,2,MET:308290,MET,16,0,16,0.0744186046512,True
text_visual,3,CMA:104241,CMA,14,0,14,0.0651162790698,True
text_visual,4,CMA:119689,CMA,13,0,13,0.0604651162791,True
text_visual,5,MET:318460,MET,12,0,12,0.0558139534884,True
text_visual,6,MET:313121,MET,10,0,10,0.046511627907,True
text_visual,7,CMA:119687,CMA,9,0,9,0.0418604651163,True
text_visual,8,MET:320054,MET,9,0,9,0.0418604651163,True
text_visual,9,MET:308070,MET,7,0,7,0.0325581395349,True
text_visual,10,MET:309528,MET,7,0,7,0.0325581395349,True
text_visual,11,CMA:165184,CMA,5,0,5,0.0232558139535,True
text_visual,12,CMA:165268,CMA,5,0,5,0.0232558139535,True
text_visual,13,MET:313153,MET,5,0,5,0.0232558139535,True
text_visual,14,CMA:152819,CMA,4,0,4,0.0186046511628,True
text_visual,15,MET:307944,MET,4,0,4,0.0186046511628,True
text_visual,16,MET:308058,MET,4,0,4,0.0186046511628,True
text_visual,17,CMA:155934,CMA,3,0,3,0.0139534883721,True
text_visual,18,CMA:169189,CMA,3,1,2,0.0139534883721,True
text_visual,19,CMA:104247,CMA,2,0,2,0.0093023255814,False
text_visual,20,CMA:124741,CMA,2,0,2,0.0093023255814,False
text_visual,21,MET:307961,MET,2,0,2,0.0093023255814,False
text_visual,22,MET:315690,MET,2,0,2,0.0093023255814,False
text_visual,23,MET:315786,MET,2,0,2,0.0093023255814,False
text_visual,24,MET:675980,MET,2,0,2,0.0093023255814,False
text_visual,25,CMA:102924,CMA,1,0,1,0.0046511627907,False
text_visual,26,CMA:104236,CMA,1,0,1,0.0046511627907,False
text_visual,27,CMA:104390,CMA,1,0,1,0.0046511627907,False
text_visual,28,CMA:108043,CMA,1,0,1,0.0046511627907,False
text_visual,29,CMA:119690,CMA,1,0,1,0.0046511627907,False
text_visual,30,CMA:124739,CMA,1,0,1,0.0046511627907,False
text_visual,31,CMA:134765,CMA,1,0,1,0.0046511627907,False
text_visual,32,CMA:152258,CMA,1,0,1,0.0046511627907,False
text_visual,33,CMA:152334,CMA,1,0,1,0.0046511627907,False
text_visual,34,CMA:160692,CMA,1,0,1,0.0046511627907,False
text_visual,35,CMA:163724,CMA,1,0,1,0.0046511627907,False
text_visual,36,CMA:164429,CMA,1,0,1,0.0046511627907,False
text_visual,37,CMA:164430,CMA,1,0,1,0.0046511627907,False
text_visual,38,MET:307968,MET,1,0,1,0.0046511627907,False
text_visual,39,MET:308035,MET,1,0,1,0.0046511627907,False
text_visual,40,MET:310699,MET,1,0,1,0.0046511627907,False
text_visual,41,MET:314363,MET,1,0,1,0.0046511627907,False
text_visual,42,MET:316939,MET,1,0,1,0.0046511627907,False
text_visual,43,CMA:114131,CMA,1,1,0,0.0046511627907,False
text_visual,44,CMA:104234,CMA,0,0,0,0,False
text_visual,45,CMA:104238,CMA,0,0,0,0,False
text_visual,46,CMA:104240,CMA,0,0,0,0,False
text_visual,47,CMA:104242,CMA,0,0,0,0,False
text_visual,48,CMA:104243,CMA,0,0,0,0,False
text_visual,49,CMA:104244,CMA,0,0,0,0,False
text_visual,50,CMA:104245,CMA,0,0,0,0,False
text_visual,51,CMA:104246,CMA,0,0,0,0,False
text_visual,52,CMA:104248,CMA,0,0,0,0,False
text_visual,53,CMA:104249,CMA,0,0,0,0,False
text_visual,54,CMA:108026,CMA,0,0,0,0,False
text_visual,55,CMA:108033,CMA,0,0,0,0,False
text_visual,56,CMA:108034,CMA,0,0,0,0,False
text_visual,57,CMA:108038,CMA,0,0,0,0,False
text_visual,58,CMA:108042,CMA,0,0,0,0,False
text_visual,59,CMA:108044,CMA,0,0,0,0,False
text_visual,60,CMA:114132,CMA,0,0,0,0,False
text_visual,61,CMA:119652,CMA,0,0,0,0,False
text_visual,62,CMA:119655,CMA,0,0,0,0,False
text_visual,63,CMA:119656,CMA,0,0,0,0,False
