museum,field,non_empty,total,coverage,unique_non_empty
MET,titulo_original,127,127,1.0,58
MET,titulo_es_sugerido,127,127,1.0,8
MET,cultura,127,127,1.0,14
MET,fecha_objeto,127,127,1.0,39
MET,tipo_objeto,127,127,1.0,24
MET,material,127,127,1.0,11
MET,tecnica,29,127,0.2283464566929134,3
MET,clasificacion_original_recuperada,127,127,1.0,4
MET,clasificacion_normalizada_recuperada,127,127,1.0,1
MET,pais_recuperado,126,127,0.9921259842519685,3
MET,region_recuperada,3,127,0.023622047244094488,3
CMA,numero_acceso,88,88,1.0,88
CMA,titulo_original,88,88,1.0,55
CMA,cultura,88,88,1.0,43
CMA,periodo,88,88,1.0,41
CMA,clasificacion_original,88,88,1.0,4
CMA,tecnica_original,88,88,1.0,65
CMA,material_original,0,88,0.0,0
CMA,descripcion_original,46,88,0.5227272727272727,34
CMA,departamento_recuperado,88,88,1.0,1
CMA,licencia_recuperada,88,88,1.0,1
