review_id,hub_priority,configuration_priority,configuration,candidate_item_id,candidate_museum,candidate_title,candidate_culture_canonical,candidate_object_type,candidate_material,candidate_image_local_path,candidate_text_visual,candidate_text_metadata,total_top1_count,total_false_top1_count,max_top1_count,query_index,query_item_id,query_museum,query_title,query_culture_canonical,query_object_type,query_image_local_path,matched_rank,matched_score,top1_score,score_margin,is_false_top1,cross_museum,same_culture_canonical,same_object_type,review_status,visual_similarity,photographic_similarity,semantic_plausibility,dominant_cause,duplicate_or_near_duplicate,generic_text_influence,museum_style_influence,hubness_severity,recommended_action,reviewer,review_date,review_notes
HR-0001,1,1,text_visual,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,172,MET:310059,MET,Panel textil,Chancay,Panel,data/images/met/MET_310059.jpg,206,0.232567936182,0.336236596107,0.10366865992500002,True,True,False,False,pendiente,,,,,,,,,,,,
HR-0002,1,1,text_visual,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,189,MET:315708,MET,Fragmento textil,Inca,Textile fragment,data/images/met/MET_315708.jpg,105,0.299042761326,0.348290085793,0.04924732446700003,True,True,False,False,pendiente,,,,,,,,,,,,
HR-0003,1,1,text_visual,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,167,MET:308283,MET,Panel textil,Chancay,Textile fragment,data/images/met/MET_308283.jpg,20,0.30526059866,0.343488454819,0.038227856158999984,True,True,False,False,pendiente,,,,,,,,,,,,
HR-0004,1,1,text_visual,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,170,MET:308290,MET,Fragmento textil,Chancay,Panel,data/images/met/MET_308290.jpg,61,0.303647220135,0.335382521152,0.031735301017000006,True,True,False,False,pendiente,,,,,,,,,,,,
HR-0005,1,1,text_visual,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,180,MET:312669,MET,Panel textil,Chancay,Panel,data/images/met/MET_312669.jpg,34,0.308063387871,0.336236596107,0.028173208236000002,True,True,False,False,pendiente,,,,,,,,,,,,
HR-0006,1,2,text_metadata,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,16,CMA:108033,CMA,Unfinished Cloth,Chancay,Textile,data/images/cma/CMA_108033.jpg,48,0.328508347273,0.371678292751,0.043169945478000016,True,False,False,True,pendiente,,,,,,,,,,,,
HR-0007,1,2,text_metadata,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,167,MET:308283,MET,Panel textil,Chancay,Textile fragment,data/images/met/MET_308283.jpg,10,0.357671320438,0.372426152229,0.014754831791000012,True,True,False,False,pendiente,,,,,,,,,,,,
HR-0008,1,3,text_fused_alpha_0.50,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,170,MET:308290,MET,Fragmento textil,Chancay,Panel,data/images/met/MET_308290.jpg,163,0.317506432533,0.38428235054,0.066775918007,True,True,False,False,pendiente,,,,,,,,,,,,
HR-0009,1,3,text_fused_alpha_0.50,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,16,CMA:108033,CMA,Unfinished Cloth,Chancay,Textile,data/images/cma/CMA_108033.jpg,38,0.335688620806,0.373043179512,0.03735455870600002,True,False,False,True,pendiente,,,,,,,,,,,,
HR-0010,1,3,text_fused_alpha_0.50,CMA:165268,CMA,Textile Fragment,Moche,Textile,,data/images/cma/CMA_165268.jpg,"Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.","Title: Textile Fragment; Object type: Textile; Technique: cotton and camelid fiber; Description: This fragment, one of several in the collection, is a rare survivor of catastrophic rains that destroyed much of the Moche textile legacy and may have helped to bring about the decline of Moche culture. It depicts a serpent and a snail beneath a hovering raptorial bird—perhaps a snail kite, a type of hawk named after its favored food. The size of the motifs implies that the original textile was large, a mantle (a shawl-like garment) or a hanging are among the possibilities.; Culture: Moche; Period: c. 50–650 CE; Classification: Textile",9,9,5,56,CMA:149062,CMA,Fragment,Chancay,Textile,data/images/cma/CMA_149062.jpg,40,0.331036329269,0.364921867847,0.033885538577999974,True,False,False,True,pendiente,,,,,,,,,,,,
